target,RA_ICRS,e_RA,DE_ICRS,e_DE,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,std_delta_ra,std_delta_de,std_delta_pmra,std_delta_pmde,cov_delta_ra_de,cov_delta_ra_pmra,cov_delta_ra_pmde,cov_delta_de_pmra,cov_delta_de_pmde,cov_delta_pmra_pmde,problem
BD+053829,279.2717337145653,0.0390992621515568,5.292095971099969,0.0405836794032118,2.097957253027852,0.0415525519751244,1.3965868016735774,0.0786845382352958,-4.85666072502546,0.0806876845756167,-25.40655486535619,0.478714530116848,1.0860906117693013e-07,1.127324426149935e-07,0.7868449580342479,0.8068760347459475,-5.329251276411671e-24,5.816998559848608e-15,7.390016989895488e-15,1.376966777194261e-15,-1.104242941838622e-15,-5.124748081651036e-07,1
BD+053835,279.3762495225187,0.0371804835660622,5.2043421551247455,0.0382603595861296,2.0982569991115247,0.0432326701236305,1.4602399630137062,0.0730375808367462,-5.474227072370885,0.0756346455060659,-25.837408634162347,0.2966988208772312,1.0327912079381747e-07,1.062787765924028e-07,0.7303756260610773,0.7563458033488001,-9.23384376381242e-24,3.173057618053401e-15,5.9095859996705336e-15,8.8208497009024975e-16,2.0086406691811877e-15,-5.052012070748512e-07,1
BD+072351,161.15692479355658,0.0452785748592061,6.333474890869986,0.0395867691583104,15.01976781271496,0.0549987282029533,58.78234835465877,0.0863044112611551,-22.05656589765509,0.0710691617454987,-20.976799738661263,0.1527879302536966,1.257738182301801e-07,1.0996324756563036e-07,0.8630440832728457,0.7106916159549057,6.623013890771227e-23,3.237865958619474e-15,-6.328440714651858e-16,-1.0358592142692992e-15,2.0282636925918311e-16,9.915787815195524e-09,33
BD+101802,126.89814480710736,0.0452571503546881,10.506562066583466,0.0314322905709051,0.7742261467373633,0.0590112635657789,-1.8023224483824984,0.0933837756459091,3.766521227314884,0.0539479601437971,80.02601411402009,0.3116460517639037,1.2571430523965744e-07,8.731191816703045e-08,0.9338365633103118,0.5394792572741668,6.96785451598444e-23,-2.7000245384316267e-14,1.1003227632656044e-14,5.750784303094161e-15,-2.337965473725217e-15,9.081308465317408e-07,33
BD+144559,318.401000159897,0.0295739259109772,14.689383415675124,0.023078031882207,20.233735039280862,0.0344514443665804,234.01950752869567,0.057316650386411,-0.2782768457140884,0.0559570692773009,-44.29984148850483,0.298379326646943,8.214979339875396e-08,6.41056440590043e-08,0.5731659819790171,0.5595706835086021,-1.2154299562605276e-23,1.5795629052453009e-15,-6.7330164967114e-17,5.730613038885587e-16,-2.0040914578008386e-16,9.3558423736708e-09,1
BD+20594,53.651123137733535,0.0340942634934882,20.599020450036463,0.0229392600400569,5.543657826733773,0.0384778626025091,36.57142524647433,0.075014724907097,-51.36494384961645,0.0511292870270683,-19.94054939605431,0.7508142908767884,9.470628695888441e-08,6.372016676710064e-08,0.7501472436325387,0.5112928637090586,-1.1672398494352595e-23,-3.22094080056281e-17,2.5577913715550404e-16,-8.14836774907652e-18,3.2615304670064795e-17,5.236929456956942e-09,16
BD+23527,56.7240412020597,0.040827948801899,23.58336016320933,0.0235753149172289,7.410569251115423,0.0433632014446421,21.08094530747325,0.0891147757686984,-45.29893567921609,0.0542359035709634,6.281353536911749,0.7722901181517569,1.1341093348469321e-07,6.548698557756831e-08,0.8911473909157364,0.5423589539125924,-5.650322517840463e-22,7.082718861626199e-14,2.65365275038768e-14,4.9609850198008295e-15,1.8627312893912798e-15,-2.395411423023731e-07,33
BD-013943,304.5388430196491,0.0398009414660461,-1.076003264057089,0.0356597939908777,6.673416850948866,0.0508420795024928,1.3499638361307902,0.0824425253685117,-64.60373787665799,0.0599808893141252,-15.32468271746865,0.2676206484964281,1.1055816983702928e-07,9.905498322509425e-08,0.8244251750280097,0.5998084770143761,-5.722680659744502e-23,-5.05919161487062e-15,-9.974300029167814e-15,-1.451880649371869e-15,-2.8615408932923128e-15,-2.533093696859404e-07,33
BD-053461,183.9518524790697,0.0356721295511636,-6.40310864286552,0.0248189558639463,2.647787413626587,0.0462537336139029,-38.63304295011608,0.093011830949635,-6.714966963704285,0.0564812437065893,32.47213518646804,0.3050049303820217,9.908924851634445e-08,6.894154404769245e-08,0.9301170606235798,0.5648124361912908,1.1009150591066242e-23,-1.0438462105045384e-14,-1.8795695780768095e-16,2.448783352593148e-15,4.239290277360612e-17,-4.1817433862401816e-08,33
BD-055432,315.0259660881876,0.0399315554381215,-5.094857020127122,0.02938614937991,19.98707669692525,0.0523378805956141,33.675833228855794,0.0800676601888166,-93.4358303160414,0.0428140770873559,-9.372155119616728,0.2096770455046694,1.1092098601332518e-07,8.162819271673268e-08,0.8006765595430091,0.4281404297634402,-1.5106569143747806e-23,4.100897421088136e-15,9.198242144756837e-15,1.908116872907379e-16,4.664434548764115e-16,-1.3325909749691918e-07,48
